event_id,title,releaseyear,date,locations,funfacts,productioncompany,distributor,director,writer,actor1,actor2,actor3,sffindneighborhoods,analysisneighborhoods,currentsupervisordistricts
739,The Diary of a Teenage Girl,2015,2999-01-07T07:00:00.000Z,Tank Hill Park,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,114,14,11
740,Chance- Season 1 ep102,2016,2999-01-07T07:00:00.000Z,Heron and Berwick Alleys,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie,Gretchen Mol,Ethan Suplee,32,34,10
741,Looking Season 2 ep 204,2015,2999-01-07T07:00:00.000Z,1890 Clay Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,102,30,6
742,Americana,2015,2999-01-07T07:00:00.000Z,Coi Restaurant (373 Broadway),,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,106,23,3
743,Looking Season 2 ep 202,2015,2999-01-07T07:00:00.000Z,601 Buena Vista Ave West,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,112,3,5
744,The Rock,1996,2999-01-07T07:00:00.000Z,New Russian Hill Market (1198 Pacific Avenue at Jones),,Hollywood Pictures,Buena Vista Pictures,Michael Bay,David Weisberg,Sean Connery,Nicolas Cage,,107,21,3
745,The Matrix Resurrections,2021,2999-01-07T07:00:00.000Z,Fremont at Mission,,"Adobe Pictures, Inc.",Warner Brothers,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris,108,8,10
746,Sense8,2015,2999-01-07T07:00:00.000Z,S. Van Ness,Driving shots,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,53,20,2
747,DEVS,2020,2999-01-07T07:00:00.000Z,Broadway at Columbus,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,106,23,3
748,The Other Sister,1999,2999-01-07T07:00:00.000Z,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.",Mandeville Films,Buena Vista Pictures,Garry Marshall,Garry Marshall,Juliette Lewis,Diane Keaton,,106,23,3
749,Looking,2014,2999-01-07T07:00:00.000Z,The Stud,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,21,36,10
750,Star Trek IV: The Voyage Home,1986,2999-01-07T07:00:00.000Z,Intersection of Columbus & Kearney Streets,,Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,George Takei,106,6,3
751,Sense8 - Season 2,2016,2999-01-07T07:00:00.000Z,Montgomery between Green and Broadway,,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,106,23,3
752,Greed,1924,2999-01-07T07:00:00.000Z,Cliff House (1090 Point Lobos Avenue),"In 1887, the Cliff House was severely damaged when the schooner Parallel, abandoned and loaded with dynamite, ran aground on the rocks below.",Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Eric von Stroheim,Eric von Stroheim,Zasu Pitts,Gibson Gowland,Jean Hersholt,6,29,4
753,GirlBoss,2017,2999-01-07T07:00:00.000Z,Clarion Alley between Valencia and Mission,The murals that make up this famous alley were first painted in 1992 and still looked after by the Clarion Alley Mural Project.,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,83,2,2
754,Chance- Season 1 ep110,2016,2999-01-07T07:00:00.000Z,1 Urbano,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,67,41,8
755,I Am Michael,2015,2999-01-07T07:00:00.000Z,"Grove & Polk, thru Fulton & 6th, Masonic, 28th & 47th",,That’s Hollywood,,Justin Kelly,Justin Kelly,James Franco,Emma Roberts,Zachary Quinto,21,36,10
756,"Play it Again, Sam",1972,2999-01-07T07:00:00.000Z,Hyde Street Cable Car,,Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,21,36,10
757,Venom,2018,2999-01-07T07:00:00.000Z,Grant Ave btwn Pine and Jackson,Motorcycle/SUV chase scene,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,104,6,3
758,Chance Season 2,2017,2999-01-07T07:00:00.000Z,Embarcadero at Vallejo St.,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,77,8,3
759,Looking,2014,2999-01-07T07:00:00.000Z,2413 Harrison St.,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,53,20,2
760,Dim Sum: A Little Bit of Heart,1985,2999-01-07T07:00:00.000Z,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",CIM,Orion Classics,Wayne Wang,Terrel Seltzer,Laureen Chew,Kim Chew,Victor Wong,104,6,3
761,Women is Losers,2020,2999-01-07T07:00:00.000Z,F Train Charter,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,,,
762,D.O.A,1950,2999-01-07T07:00:00.000Z,Market Street (from 6th- 4th Streets),,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Luther Adler,108,8,10
763,Looking Season 2 ep 206,2015,2999-01-07T07:00:00.000Z,745 Treat Ave.,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
764,The OA Part II,2019,2999-01-07T07:00:00.000Z,Pier 7,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,77,8,3
765,Sudden Impact,1983,2999-01-07T07:00:00.000Z,Ferry Plaza,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Warner Bros. Pictures,Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood,Sondra Locke,Pat Hingle,108,8,3
766,Take the Money and Run,1969,2999-01-07T07:00:00.000Z,Golden Gate Park,,American Broadcasting Company (ABC),Cinerama Releasing Corporation,Woody Allen,Woody Allen,Woody Allen,Janet Margolin,,9,12,4
767,When a Man Loves a Woman,1994,2999-01-07T07:00:00.000Z,766 Vallejo Street at Stockton Street (North Beach),,Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,,106,6,3
768,Bullitt,1968,2999-01-07T07:00:00.000Z,Larkin & Francisco Streets (Russian Hill),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,107,32,6
769,180,2011,2999-01-07T07:00:00.000Z,Mason & California Streets (Nob Hill),,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba",Siddarth,Nithya Menon,Priya Anand,16,21,3
